"Date","Price","Open","High","Low","Vol.","Change %"
"04/23/2021","258,500","256,000","261,500","251,500","283.51K","1.37%"
"04/22/2021","255,000","246,000","256,000","245,500","444.60K","5.37%"
"04/21/2021","242,000","242,000","246,500","241,000","229.61K","0.00%"
"04/20/2021","242,000","241,000","247,500","239,500","214.42K","0.21%"
"04/19/2021","241,500","250,000","254,000","240,500","345.79K","-3.01%"
"04/18/2021","249,000","249,000","249,000","249,000","","0.00%"
"04/16/2021","249,000","253,500","255,500","242,500","437.81K","0.61%"
"04/15/2021","247,500","225,225","252,450","225,225","1.26M","6.16%"
"04/14/2021","233,145","239,085","244,530","229,680","1.02M","-6.73%"
"04/13/2021","249,975","252,945","255,915","248,985","317.51K","0.00%"
"04/12/2021","249,975","253,440","259,875","247,500","458.94K","-3.11%"
"04/11/2021","258,000","258,000","258,000","258,000","","1.01%"
"04/09/2021","255,420","265,320","269,280","254,430","510.94K","-3.37%"
"04/08/2021","264,330","275,220","282,150","262,350","635.22K","-3.26%"
"04/07/2021","273,240","259,380","276,705","253,935","1.04M","6.56%"
"04/06/2021","256,410","250,470","261,855","248,985","926.55K","4.44%"
"04/05/2021","245,520","252,450","262,350","241,065","1.67M","1.04%"
"04/04/2021","243,000","243,000","243,000","243,000","","1.01%"
"04/02/2021","240,570","237,600","241,065","231,660","452.20K","1.67%"
"04/01/2021","236,610","243,540","244,530","231,660","280.43K","-1.65%"
"03/31/2021","240,570","242,550","248,490","238,590","275.33K","0.21%"
"03/30/2021","240,075","235,620","246,015","234,630","360.50K","2.54%"
"03/29/2021","234,135","241,065","241,065","231,660","226.34K","-3.25%"
"03/28/2021","242,000","242,000","242,000","242,000","","1.01%"
